DATE,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
2026-01-01,45.00,52.10,30.45,15.20,120.40,88.15,62.30,10.45,95.20,44.10,32.40,67.80,12.50,55.30,89.10,41.20,23.50,77.40,65.20,9.50,110.30,48.60,33.20,19.40,82.10,54.30
2026-01-02,45.12,51.95,30.50,15.15,121.10,87.90,62.45,10.52,94.80,44.25,32.55,68.10,12.45,55.10,89.35,41.45,23.65,77.20,65.40,9.48,110.80,48.75,33.10,19.55,82.40,54.15
2026-01-03,45.25,52.30,30.65,15.30,120.85,88.25,62.15,10.60,95.45,44.05,32.70,67.95,12.62,55.45,89.05,41.30,23.40,77.65,65.15,9.55,110.55,48.40,33.35,19.30,82.05,54.45
2026-01-04,45.10,52.55,30.40,15.25,121.50,88.40,62.60,10.48,95.10,44.40,32.35,68.25,12.55,55.60,89.50,41.60,23.80,77.90,65.60,9.52,111.10,48.90,33.05,19.65,82.70,54.60
2026-01-05,45.40,52.15,30.80,15.40,122.05,88.75,62.90,10.70,95.70,44.65,32.90,68.50,12.75,55.85,89.80,41.85,24.10,78.20,65.90,9.65,111.50,49.20,33.50,19.90,83.05,54.90
2026-01-06,45.65,52.40,30.95,15.55,121.80,89.05,63.15,10.85,96.05,44.90,33.15,68.85,12.90,56.10,90.15,42.10,24.35,78.55,66.15,9.78,111.95,49.45,33.85,20.15,83.40,55.25
2026-01-07,45.35,52.05,30.70,15.35,121.45,88.80,62.85,10.65,95.65,44.55,32.85,68.45,12.65,55.75,89.70,41.75,23.95,78.10,65.75,9.58,111.40,49.10,33.40,19.75,82.90,54.85
2026-01-08,45.80,52.70,31.10,15.70,122.30,89.40,63.40,10.95,96.40,45.15,33.40,69.20,13.05,56.40,90.50,42.40,24.60,78.90,66.50,9.88,112.40,49.80,34.10,20.40,83.80,55.60
2026-01-09,46.05,53.05,31.35,15.90,122.95,89.85,63.75,11.15,96.85,45.50,33.75,69.65,13.25,56.75,90.95,42.85,24.95,79.45,66.95,10.05,113.05,50.25,34.55,20.75,84.25,56.15
2026-01-10,45.75,52.65,31.05,15.65,122.50,89.55,63.35,10.90,96.35,45.10,33.35,69.15,12.95,56.35,90.55,42.45,24.55,78.95,66.45,9.85,112.55,49.85,34.15,20.35,83.75,55.75
2026-01-11,46.20,53.30,31.50,16.10,123.40,90.20,64.10,11.30,97.30,45.90,34.10,70.10,13.50,57.10,91.40,43.20,25.40,80.10,67.50,10.20,113.80,50.70,34.90,21.10,84.90,56.70
2026-01-12,46.45,53.65,31.75,16.35,124.05,90.65,64.45,11.55,97.85,46.35,34.45,70.55,13.85,57.55,91.95,43.75,25.85,80.75,68.15,10.45,114.55,51.25,35.35,21.55,85.55,57.25
2026-01-13,46.10,53.20,31.40,16.05,123.60,90.30,64.05,11.25,97.40,45.85,34.05,70.05,13.45,57.05,91.45,43.25,25.35,80.15,67.65,10.15,113.90,50.75,34.85,21.15,84.95,56.75
2026-01-14,46.60,53.80,31.90,16.50,124.50,91.00,64.80,11.70,98.30,46.60,34.80,71.00,14.00,57.90,92.40,44.20,26.40,81.30,68.60,10.60,115.30,51.60,35.60,22.00,86.10,57.80
2026-01-15,46.85,54.15,32.15,16.75,125.15,91.45,65.25,11.95,98.85,47.15,35.25,71.55,14.35,58.35,92.95,44.75,26.95,82.05,69.25,10.95,116.15,52.25,36.15,22.55,86.85,58.45
2026-01-16,46.50,53.75,31.80,16.45,124.70,91.10,64.85,11.65,98.40,46.65,34.85,71.15,13.95,57.95,92.45,44.25,26.45,81.45,68.75,10.65,115.55,51.75,35.65,22.15,86.35,57.95
2026-01-17,47.00,54.30,32.30,16.90,125.60,91.80,65.60,12.10,99.30,47.40,35.60,72.10,14.60,58.80,93.40,45.20,27.40,82.60,69.80,11.20,116.80,52.70,36.60,23.10,87.60,59.10
2026-01-18,47.35,54.75,32.65,17.25,126.35,92.35,66.05,12.45,99.95,47.95,36.15,72.75,15.05,59.35,94.05,45.95,28.05,83.35,70.55,11.65,117.75,53.35,37.25,23.75,88.35,59.85
2026-01-19,46.95,54.25,32.25,16.85,125.85,91.95,65.65,12.05,99.45,47.45,35.65,72.25,14.55,58.85,93.45,45.35,27.35,82.65,69.95,11.15,116.95,52.85,36.75,23.15,87.65,59.25
2026-01-20,47.50,54.90,32.80,17.40,126.80,92.70,66.40,12.70,100.40,48.30,36.40,73.20,15.20,59.80,94.50,46.30,28.40,83.90,71.10,11.90,118.30,53.80,37.60,24.10,88.80,60.30
2026-01-21,47.85,55.35,33.15,17.75,127.55,93.25,66.95,13.05,101.05,48.95,36.95,73.85,15.65,60.35,95.15,47.05,29.05,84.75,71.85,12.35,119.15,54.45,38.25,24.75,89.55,61.05
2026-01-22,47.45,54.85,32.75,17.35,127.05,92.85,66.45,12.65,100.55,48.45,36.45,73.35,15.15,59.85,94.55,46.45,28.35,84.05,71.25,11.85,118.45,53.85,37.65,24.15,88.85,60.45
2026-01-23,48.10,55.60,33.40,18.00,128.10,93.70,67.30,13.40,101.50,49.40,37.30,74.30,15.90,60.80,95.70,47.60,29.60,85.40,72.60,12.70,120.10,55.10,38.80,25.40,90.10,61.70
2026-01-24,48.45,56.05,33.85,18.45,128.95,94.35,67.95,13.85,102.35,50.15,38.05,75.15,16.45,61.45,96.45,48.45,30.35,86.25,73.45,13.25,121.05,55.85,39.55,26.15,90.95,62.55
2026-01-25,48.05,55.55,33.45,18.05,128.35,93.85,67.45,13.35,101.75,49.55,37.45,74.55,15.85,60.85,95.85,47.85,29.75,85.65,72.85,12.75,120.35,55.25,38.95,25.55,90.35,61.85
